# metadata_json,"{""task"":""analyze_sky_vs_50ohm"",""timestamp_utc"":""2026-06-17T00:33:11.509171+00:00"",""product"":""stitched_sky_over_50ohm"",""ratio"":""sky_psd_linear_per_hz / calibration_psd_linear_per_hz"",""stitch_method"":""mean ratio in uniform frequency bins"",""stitched_bin_width_hz"":5000.0,""center_freqs_hz"":[1418805800,1419605800,1420405800,1421205800,1422005800],""sky_data_dir"":""../data/commiss_21cm_data_061626"",""calibration_data_dir"":""../data/commiss_50ohm_data_061626"",""sky_scan_count"":25,""calibration_scan_count"":25}"
frequency_hz,frequency_mhz,sky_over_50ohm,n_points_averaged
1419823480.469,1419.823480469,1.543868134754e+00,26
1419828460.938,1419.828460938,1.694961902619e+00,25
1419833441.406,1419.833441406,1.584674471526e+00,26
1419838519.531,1419.838519531,1.526676949028e+00,26
1419843500.000,1419.843500000,1.672479368207e+00,25
1419848480.469,1419.848480469,1.585530172006e+00,26
1419853460.938,1419.853460938,1.502748051573e+00,25
1419858441.406,1419.858441406,1.697236392828e+00,26
1419863519.531,1419.863519531,1.594383384647e+00,26
1419868500.000,1419.868500000,1.625351470894e+00,25
1419873480.469,1419.873480469,1.710918180374e+00,26
1419878460.938,1419.878460938,1.667904415741e+00,25
1419883441.406,1419.883441406,1.489669209074e+00,26
1419888519.531,1419.888519531,1.649009984861e+00,26
1419893500.000,1419.893500000,1.519550536322e+00,25
1419898480.469,1419.898480469,1.510380245719e+00,26
1419903460.938,1419.903460938,1.675856544363e+00,25
1419908441.406,1419.908441406,1.584287726759e+00,26
1419913519.531,1419.913519531,1.563141677597e+00,26
1419918500.000,1419.918500000,1.727686962854e+00,25
1419923480.469,1419.923480469,1.669797387153e+00,26
1419928460.938,1419.928460938,1.561739441509e+00,25
